rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
7,cyclone,loopback,5ebac540b471,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,edcf0ad18dbf,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,4491d17d658f,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,3e79f7821459,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,019dc82d58bf,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,18f545310b99,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,218cdb79329e,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,a76988139539,20260630,0,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,925,0.925,,,,14,12,0,0,,,true,true,delivered
7,cyclone,loopback,708447cef722,20260630,1,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,926,0.926,,,,21,12,0,0,,,true,true,delivered
7,cyclone,loopback,dd4a5b26f79e,20260630,2,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,942,0.942,,,,24,12,0,0,,,true,true,delivered
